State,Time,Device,Unit,
0,2024-09-11T23:50:34.000Z,illuminance_sensor,lux,
0,2024-09-11T23:51:35.000Z,illuminance_sensor,lux,
0,2024-09-12T00:06:52.000Z,illuminance_sensor,lux,
0,2024-09-12T00:19:07.000Z,illuminance_sensor,lux,
0,2024-09-12T00:20:44.000Z,illuminance_sensor,lux,
0,2024-09-12T00:21:51.000Z,illuminance_sensor,lux,
0,2024-09-12T00:27:30.000Z,illuminance_sensor,lux,
0,2024-09-12T00:29:41.000Z,illuminance_sensor,lux,
0,2024-09-12T00:32:32.000Z,illuminance_sensor,lux,
0,2024-09-12T00:36:15.000Z,illuminance_sensor,lux,
0,2024-09-12T00:37:30.000Z,illuminance_sensor,lux,
0,2024-09-12T00:42:02.000Z,illuminance_sensor,lux,
0,2024-09-12T00:59:06.000Z,illuminance_sensor,lux,
0,2024-09-12T01:01:29.000Z,illuminance_sensor,lux,
0,2024-09-12T01:33:09.000Z,illuminance_sensor,lux,
0,2024-09-12T01:34:24.000Z,illuminance_sensor,lux,
0,2024-09-12T01:36:35.000Z,illuminance_sensor,lux,
0,2024-09-12T01:40:21.000Z,illuminance_sensor,lux,
0,2024-09-12T01:42:59.000Z,illuminance_sensor,lux,
0,2024-09-12T01:45:29.000Z,illuminance_sensor,lux,
0,2024-09-12T01:46:57.000Z,illuminance_sensor,lux,
0,2024-09-12T01:48:46.000Z,illuminance_sensor,lux,
0,2024-09-12T01:50:03.000Z,illuminance_sensor,lux,
0,2024-09-12T01:55:15.000Z,illuminance_sensor,lux,
0,2024-09-12T02:17:27.000Z,illuminance_sensor,lux,
0,2024-09-12T02:21:12.000Z,illuminance_sensor,lux,
0,2024-09-12T02:23:08.000Z,illuminance_sensor,lux,
0,2024-09-12T02:42:56.000Z,illuminance_sensor,lux,
0,2024-09-12T02:49:04.000Z,illuminance_sensor,lux,
0,2024-09-12T02:54:53.000Z,illuminance_sensor,lux,
0,2024-09-12T03:00:21.000Z,illuminance_sensor,lux,
0,2024-09-12T03:03:26.000Z,illuminance_sensor,lux,
0,2024-09-12T03:06:30.000Z,illuminance_sensor,lux,
0,2024-09-12T03:09:36.000Z,illuminance_sensor,lux,
0,2024-09-12T03:11:44.000Z,illuminance_sensor,lux,
0,2024-09-12T03:17:20.000Z,illuminance_sensor,lux,
0,2024-09-12T03:19:21.000Z,illuminance_sensor,lux,
0,2024-09-12T03:23:10.000Z,illuminance_sensor,lux,
0,2024-09-12T03:29:20.000Z,illuminance_sensor,lux,
0,2024-09-12T03:31:34.000Z,illuminance_sensor,lux,
0,2024-09-12T03:36:38.000Z,illuminance_sensor,lux,
0,2024-09-12T03:41:52.000Z,illuminance_sensor,lux,
0,2024-09-12T03:45:03.000Z,illuminance_sensor,lux,
0,2024-09-12T03:58:05.000Z,illuminance_sensor,lux,
11.092519,2024-09-12T04:45:43.000Z,illuminance_sensor,lux,
13.243109,2024-09-12T04:46:36.000Z,illuminance_sensor,lux,
180.649597,2024-09-12T05:23:08.000Z,illuminance_sensor,lux,
194.685028,2024-09-12T05:25:54.000Z,illuminance_sensor,lux,
206.796249,2024-09-12T05:28:57.000Z,illuminance_sensor,lux,
209.512772,2024-09-12T05:30:16.000Z,illuminance_sensor,lux,
224.000977,2024-09-12T05:33:47.000Z,illuminance_sensor,lux,
351.225372,2024-09-12T05:43:53.000Z,illuminance_sensor,lux,
570.92511,2024-09-12T06:05:56.000Z,illuminance_sensor,lux,
934.827637,2024-09-12T06:20:16.000Z,illuminance_sensor,lux,
958.597351,2024-09-12T06:22:32.000Z,illuminance_sensor,lux,
965.615112,2024-09-12T06:24:56.000Z,illuminance_sensor,lux,
902.795227,2024-09-12T06:29:33.000Z,illuminance_sensor,lux,
995.15741,2024-09-12T06:33:53.000Z,illuminance_sensor,lux,
1030.245972,2024-09-12T06:36:01.000Z,illuminance_sensor,lux,
1046.205566,2024-09-12T06:37:23.000Z,illuminance_sensor,lux,
1083.671143,2024-09-12T06:42:48.000Z,illuminance_sensor,lux,
1097.819824,2024-09-12T06:44:04.000Z,illuminance_sensor,lux,
1112.987061,2024-09-12T06:46:17.000Z,illuminance_sensor,lux,
1124.532349,2024-09-12T06:48:18.000Z,illuminance_sensor,lux,
1131.210571,2024-09-12T06:49:27.000Z,illuminance_sensor,lux,
1137.322754,2024-09-12T06:50:33.000Z,illuminance_sensor,lux,
1146.264648,2024-09-12T06:51:44.000Z,illuminance_sensor,lux,
1152.150513,2024-09-12T06:53:17.000Z,illuminance_sensor,lux,
1162.337524,2024-09-12T06:54:31.000Z,illuminance_sensor,lux,
